estimators,max_depth,backend,threads,nodes,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,ff,1,1,0.99816,0.9979799999999999,0.87592,0.858581,6709.494000000001,55.62024,15.759360000000001
32,0,ff,2,1,0.99816,0.9979799999999999,0.87592,0.858581,3588.5260000000003,34.01594,8.94735
32,0,ff,4,1,0.99816,0.9979799999999999,0.87592,0.858581,2045.3020000000001,19.6365,6.3645119999999995
32,0,ff,8,1,0.99816,0.9979799999999999,0.87592,0.858581,1212.048,15.59678,4.815544
32,0,ff,16,1,0.99816,0.9979799999999999,0.87592,0.858581,551.2674,12.991739999999998,5.451242
32,0,ff,32,1,0.99816,0.9979799999999999,0.87592,0.858581,343.2692,14.98716,10.816123999999999
32,0,mpi,16,2,0.9944140000000001,0.993853,0.8703999999999998,0.8520710000000001,239.89659999999998,21.12696,0.647853
32,0,mpi,16,4,0.9840959999999999,0.982388,0.866456,0.846951,240.4982,15.06726,1.450912
32,0,mpi,16,6,0.9823869999999999,0.9805949999999999,0.853838,0.835826,240.198,25.56646,2.36881
32,0,mpi,16,8,0.964577,0.96036,0.849369,0.824781,235.7074,18.42636,0.6290281999999999
32,0,mpi,32,2,0.9944140000000001,0.993853,0.8703999999999998,0.8520710000000001,334.18780000000004,17.56794,0.7216348
32,0,mpi,32,4,0.9840959999999999,0.982388,0.866456,0.846951,262.1868,20.89482,2.938468
32,0,mpi,32,6,0.9823869999999999,0.9805949999999999,0.853838,0.835826,258.98100000000005,24.25782,2.483584
32,0,mpi,32,8,0.964577,0.96036,0.849369,0.824781,247.2986,28.421299999999995,1.0203706000000001
32,0,omp,1,1,0.99816,0.9979799999999999,0.87592,0.858581,6699.794,50.42624,13.11224
32,0,omp,2,1,0.99816,0.9979799999999999,0.87592,0.858581,3527.768,27.18442,7.09511
32,0,omp,4,1,0.99816,0.9979799999999999,0.87592,0.858581,1811.9759999999999,14.600380000000001,4.213008
32,0,omp,8,1,0.99816,0.9979799999999999,0.87592,0.858581,949.3928,8.235882,2.13948
32,0,omp,16,1,0.99816,0.9979799999999999,0.87592,0.858581,477.84440000000006,4.816488,1.260896
32,0,omp,32,1,0.99816,0.9979799999999999,0.87592,0.858581,349.3786,4.573696,1.173126
32,0,seq,1,1,0.99816,0.9979799999999999,0.87592,0.858581,6712.58,50.7195,13.240019999999998
64,0,ff,1,1,0.999803,0.999784,0.879075,0.862176,13281.560000000001,104.63040000000001,29.326980000000002
64,0,ff,2,1,0.999803,0.999784,0.879075,0.862176,7482.902,59.26162000000001,16.12162
64,0,ff,4,1,0.999803,0.999784,0.879075,0.862176,4280.344,32.8538,9.767092
64,0,ff,8,1,0.999803,0.999784,0.879075,0.862176,2823.7239999999997,21.77636,6.651794
64,0,ff,16,1,0.999803,0.999784,0.879075,0.862176,1612.034,17.40984,6.752108
64,0,ff,32,1,0.999803,0.999784,0.879075,0.862176,816.9327999999999,17.26682,10.78994
64,0,mpi,16,2,0.99816,0.9979799999999999,0.87592,0.858581,478.273,16.06424,1.1392579999999999
64,0,mpi,16,4,0.9944140000000001,0.993853,0.8703999999999998,0.8520710000000001,248.0002,19.403228,3.464512
64,0,mpi,16,6,0.988565,0.987378,0.8703999999999998,0.85182,238.7074,23.397640000000003,2.4985480000000004
