estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,ff,1,1,magic,0.998488,0.9983410000000001,0.876446,0.860165,12286.039999999999,63.48258,18.77578
32,0,ff,2,1,magic,0.998488,0.9983410000000001,0.876446,0.860165,6530.876,38.63598,9.652318
32,0,ff,4,1,magic,0.998488,0.9983410000000001,0.876446,0.860165,3333.4919999999997,23.993940000000002,7.5635900000000005
32,0,ff,8,1,magic,0.998488,0.9983410000000001,0.876446,0.860165,1668.354,15.07022,5.202218
32,0,ff,16,1,magic,0.998488,0.9983410000000001,0.876446,0.860165,856.0372,12.20008,6.025378
32,0,ff,32,1,magic,0.998488,0.9983410000000001,0.876446,0.860165,648.1384,16.00808,10.76594
32,0,mpi,1,1,magic,0.997963,0.997763,0.877234,0.8603419999999999,12280.3,47.45086,12.36358
32,0,mpi,1,2,magic,0.997963,0.997763,0.877234,0.8603419999999999,6181.0779999999995,34.1518,6.6572640000000005
32,0,mpi,1,4,magic,0.997963,0.997763,0.877234,0.8603419999999999,3101.436,16.15188,4.357452
32,0,mpi,1,8,magic,0.997963,0.997763,0.877234,0.8603419999999999,1542.7040000000002,46.140859999999996,2.0417180000000004
32,0,mpi,2,1,magic,0.997963,0.997763,0.877234,0.8603419999999999,6432.15,26.02638,6.575856
32,0,mpi,2,2,magic,0.997963,0.997763,0.877234,0.8603419999999999,3232.286,22.306720000000002,3.6340060000000003
32,0,mpi,2,4,magic,0.997963,0.997763,0.877234,0.8603419999999999,1616.5639999999999,36.528518000000005,6.784962
32,0,mpi,2,8,magic,0.997963,0.997763,0.877234,0.8603419999999999,806.4126,43.6223,1.037156
32,0,mpi,4,1,magic,0.997963,0.997763,0.877234,0.8603419999999999,3280.7940000000003,17.0743,4.28948
32,0,mpi,4,2,magic,0.997963,0.997763,0.877234,0.8603419999999999,1689.4279999999999,18.39766,2.6709380000000005
32,0,mpi,4,4,magic,0.997963,0.997763,0.877234,0.8603419999999999,848.9958,15.521332000000001,1.801588
32,0,mpi,4,8,magic,0.997963,0.997763,0.877234,0.8603419999999999,426.18,20.22544,0.60646
32,0,mpi,8,1,magic,0.997963,0.997763,0.877234,0.8603419999999999,1705.0760000000002,10.485560000000001,2.630652
32,0,mpi,8,2,magic,0.997963,0.997763,0.877234,0.8603419999999999,854.4105999999999,22.796619999999997,1.06945
32,0,mpi,8,4,magic,0.997963,0.997763,0.877234,0.8603419999999999,431.8938,24.75102,1.346652
32,0,mpi,8,8,magic,0.997963,0.997763,0.877234,0.8603419999999999,430.8678,18.12408,0.5977086
32,0,mpi,16,1,magic,0.997963,0.997763,0.877234,0.8603419999999999,865.1604,5.1810279999999995,1.144286
32,0,mpi,16,2,magic,0.997963,0.997763,0.877234,0.8603419999999999,438.0232,20.192079999999997,0.6508568
32,0,mpi,16,4,magic,0.997963,0.997763,0.877234,0.8603419999999999,440.10740000000004,19.969920000000002,1.542254
32,0,mpi,16,8,magic,0.997963,0.997763,0.877234,0.8603419999999999,431.7794,21.88996,0.6295714
32,0,mpi,32,1,magic,0.997963,0.997763,0.877234,0.8603419999999999,660.4856,4.622952,0.9707610000000001
32,0,mpi,32,2,magic,0.997963,0.997763,0.877234,0.8603419999999999,645.497,24.26334,0.8021050000000001
32,0,mpi,32,4,magic,0.997963,0.997763,0.877234,0.8603419999999999,455.6968,29.16818,5.610642
32,0,mpi,32,8,magic,0.997963,0.997763,0.877234,0.8603419999999999,445.5068,23.014760000000003,0.8746074
32,0,omp,1,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,12309.84,55.73072,14.46386
32,0,omp,2,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,6504.454,31.03166,7.915618
32,0,omp,4,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,3299.1400000000003,19.94256,5.051594
32,0,omp,8,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,1725.378,12.632940000000001,3.140628
32,0,omp,16,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,881.5404000000001,5.989986,1.802244
32,0,omp,32,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,672.5498,5.78946,1.7046579999999998
32,0,seq,1,1,magic,0.998488,0.9983410000000001,0.876446,0.8597059999999999,12250.560000000001,54.75608,14.56674
64,0,ff,1,1,magic,0.999671,0.9996389999999999,0.880126,0.863659,24590.579999999998,117.12,33.53786
64,0,ff,2,1,magic,0.999671,0.9996389999999999,0.880126,0.863659,13077.82,69.2014,17.7235
64,0,ff,4,1,magic,0.999671,0.9996389999999999,0.880126,0.863659,6669.134,40.12586,12.42902
64,0,ff,8,1,magic,0.999671,0.9996389999999999,0.880126,0.863659,3341.1459999999997,25.8089,7.715308
64,0,ff,16,1,magic,0.999671,0.9996389999999999,0.880126,0.863659,1703.3619999999999,18.72458,7.416231999999999
64,0,ff,32,1,magic,0.999671,0.9996389999999999,0.880126,0.863659,1291.982,20.26236,11.837399999999999
64,0,mpi,1,1,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,24493.879999999997,93.57834,24.44086
64,0,mpi,1,2,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,12271.84,179.12920000000003,12.576740000000001
64,0,mpi,1,4,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,6176.058,56.09563999999999,7.445659999999999
64,0,mpi,1,8,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,3083.504,67.82396,3.694638
64,0,mpi,2,1,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,12950.7,51.06374,13.14924
64,0,mpi,2,2,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,6445.228,146.4394,6.772798
64,0,mpi,2,4,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,3216.54,73.25280000000001,6.466944
64,0,mpi,2,8,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,1613.676,75.22766,2.1470960000000003
64,0,mpi,4,1,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,6617.496000000001,31.1252,8.04479
64,0,mpi,4,2,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,3270.304,132.98774,4.460108
64,0,mpi,4,4,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,1656.5279999999998,49.39624,5.323504
64,0,mpi,4,8,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,855.3280000000001,20.005868,1.09397
64,0,mpi,8,1,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,3408.978,18.44078,4.79167
64,0,mpi,8,2,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,1695.798,86.58186,2.6602
64,0,mpi,8,4,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,855.6006,31.300220000000003,3.8048360000000003
64,0,mpi,8,8,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,436.3684,26.69522,0.6199728
64,0,mpi,16,1,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,1716.0919999999999,11.01244,2.89644
64,0,mpi,16,2,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,858.8412000000001,30.16984,1.291374
64,0,mpi,16,4,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,438.5192,27.53224,9.442044
64,0,mpi,16,8,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,432.6098,30.99586,0.776051
64,0,mpi,32,1,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,1309.04,11.172,2.8563520000000002
64,0,mpi,32,2,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,659.0628,38.7726,1.08293
64,0,mpi,32,4,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,645.6407999999999,24.8577,2.344296
64,0,mpi,32,8,magic,0.99954,0.9994949999999999,0.879338,0.8625620000000002,460.4608,29.51558,0.9633240000000001
64,0,omp,1,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,24333.5,108.65419999999999,28.25054
64,0,omp,2,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,12655.539999999999,59.22546,15.29386
64,0,omp,4,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,6478.894,33.27688,8.567384
64,0,omp,8,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,3362.032,20.10662,5.052656
64,0,omp,16,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,1697.038,12.65226,3.413062
64,0,omp,32,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,1287.858,11.43174,3.05989
64,0,seq,1,1,magic,0.999803,0.999784,0.8788120000000001,0.862078,24438.379999999997,105.50720000000001,28.35564
128,0,ff,1,1,magic,1.0,1.0,0.8788120000000001,0.8622499999999998,48924.259999999995,227.98420000000002,63.60204
128,0,ff,2,1,magic,1.0,1.0,0.8788120000000001,0.8622499999999998,26067.22,131.89960000000002,33.357240000000004
128,0,ff,4,1,magic,1.0,1.0,0.8788120000000001,0.8622499999999998,13324.560000000001,74.84016,21.80388
128,0,ff,8,1,magic,1.0,1.0,0.8788120000000001,0.8622499999999998,6688.7699999999995,44.72186000000001,12.61676
128,0,ff,16,1,magic,1.0,1.0,0.8788120000000001,0.8622499999999998,3394.988,31.046460000000003,10.420592
128,0,ff,32,1,magic,1.0,1.0,0.8788120000000001,0.8622499999999998,2588.8540000000003,28.277679999999997,12.97866
128,0,mpi,1,1,magic,1.0,1.0,0.880126,0.8634889999999998,48848.68,189.20499999999998,50.44758
128,0,mpi,1,2,magic,1.0,1.0,0.880126,0.8634889999999998,24508.96,270.26419999999996,24.805680000000002
128,0,mpi,1,4,magic,1.0,1.0,0.880126,0.8634889999999998,12314.76,115.88136,13.800040000000001
128,0,mpi,1,8,magic,1.0,1.0,0.880126,0.8634889999999998,6179.638,100.08178,6.93377
128,0,mpi,2,1,magic,1.0,1.0,0.880126,0.8634889999999998,25846.840000000004,100.45456,26.7488
128,0,mpi,2,2,magic,1.0,1.0,0.880126,0.8634889999999998,12852.539999999999,58.27275999999999,13.648159999999999
128,0,mpi,2,4,magic,1.0,1.0,0.880126,0.8634889999999998,6429.062,148.8259,7.751792
128,0,mpi,2,8,magic,1.0,1.0,0.880126,0.8634889999999998,3209.654,83.7008,3.8966700000000003
128,0,mpi,4,1,magic,1.0,1.0,0.880126,0.8634889999999998,13104.18,54.86072,13.96532
128,0,mpi,4,2,magic,1.0,1.0,0.880126,0.8634889999999998,6632.5419999999995,41.52346,8.165764
128,0,mpi,4,4,magic,1.0,1.0,0.880126,0.8634889999999998,3306.1620000000003,121.81284000000001,5.017574000000001
128,0,mpi,4,8,magic,1.0,1.0,0.880126,0.8634889999999998,1678.962,31.51164,2.8747219999999998
128,0,mpi,8,1,magic,1.0,1.0,0.880126,0.8634889999999998,6721.103999999999,30.867560000000005,7.623754
128,0,mpi,8,2,magic,1.0,1.0,0.880126,0.8634889999999998,3432.4300000000003,29.8361,4.714304
128,0,mpi,8,4,magic,1.0,1.0,0.880126,0.8634889999999998,1709.884,54.56798,3.3088439999999997
128,0,mpi,8,8,magic,1.0,1.0,0.880126,0.8634889999999998,856.848,29.3436,1.150414
128,0,mpi,16,1,magic,1.0,1.0,0.880126,0.8634889999999998,3397.746,19.232120000000002,4.706258
