dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
breast_cancer,seq,64,0,1,0.598225,0.00141416,1,1
breast_cancer,omp,64,0,1,0.309023,0.000878323,2,1
breast_cancer,ff,64,0,1,0.321052,0.00486912,2,1
breast_cancer,omp,64,0,1,0.166359,0.000526257,4,1
breast_cancer,ff,64,0,1,0.160653,0.00413566,4,1
breast_cancer,omp,64,0,1,0.0857031,0.000389111,8,1
breast_cancer,ff,64,0,1,0.0840199,0.00375518,8,1
breast_cancer,omp,64,0,1,0.0456971,0.000356103,16,1
breast_cancer,ff,64,0,1,0.0479559,0.00343755,16,1
breast_cancer,omp,64,0,1,0.0349018,0.000348033,32,1
breast_cancer,ff,64,0,1,0.0351853,0.00292069,32,1
breast_cancer,seq,128,0,1,1.18494,0.00258962,1,1
breast_cancer,omp,128,0,1,0.625834,0.00167165,2,1
breast_cancer,ff,128,0,1,0.653172,0.00336786,2,1
breast_cancer,omp,128,0,1,0.317135,0.00101576,4,1
breast_cancer,ff,128,0,1,0.329931,0.00334586,4,1
breast_cancer,omp,128,0,1,0.164646,0.000673607,8,1
breast_cancer,ff,128,0,1,0.165181,0.00370031,8,1
breast_cancer,omp,128,0,1,0.0834071,0.000483727,16,1
breast_cancer,ff,128,0,1,0.086822,0.00407105,16,1
breast_cancer,omp,128,0,1,0.0638349,0.000446906,32,1
breast_cancer,ff,128,0,1,0.0645508,0.00265022,32,1
breast_cancer,seq,256,0,1,2.33391,0.00521175,1,1
breast_cancer,omp,256,0,1,1.24239,0.00322511,2,1
breast_cancer,ff,256,0,1,1.29792,0.00672051,2,1
breast_cancer,omp,256,0,1,0.64294,0.00194232,4,1
breast_cancer,ff,256,0,1,0.651,0.00461289,4,1
breast_cancer,omp,256,0,1,0.330473,0.00136963,8,1
breast_cancer,ff,256,0,1,0.325009,0.00507053,8,1
breast_cancer,omp,256,0,1,0.174782,0.000825453,16,1
breast_cancer,ff,256,0,1,0.17292,0.00354392,16,1
breast_cancer,omp,256,0,1,0.127254,0.000703761,32,1
breast_cancer,ff,256,0,1,0.124457,0.0128725,32,1
breast_cancer,seq,512,0,1,4.73721,0.0102475,1,1
breast_cancer,omp,512,0,1,2.49851,0.00615507,2,1
breast_cancer,ff,512,0,1,2.54638,0.00533316,2,1
breast_cancer,omp,512,0,1,1.2832,0.0041845,4,1
breast_cancer,ff,512,0,1,1.28255,0.00847875,4,1
breast_cancer,omp,512,0,1,0.658428,0.00268385,8,1
breast_cancer,ff,512,0,1,0.655128,0.00471608,8,1
breast_cancer,omp,512,0,1,0.325158,0.00167025,16,1
breast_cancer,ff,512,0,1,0.338942,0.00458451,16,1
breast_cancer,omp,512,0,1,0.238816,0.00108199,32,1
breast_cancer,ff,512,0,1,0.246785,0.00655869,32,1
