dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
iris,seq,32,0,1.0,4.73128,0.13722,1,1
iris,omp,32,0,1.0,2.63532,0.096904,2,1
iris,ff,32,0,0.991667,2.72582,0.444482,2,1
iris,omp,32,0,1.0,1.48456,0.075335,4,1
iris,ff,32,0,1.0,1.4934,0.651776,4,1
iris,omp,32,0,1.0,1.4978,0.066644,8,1
iris,ff,32,0,1.0,1.27296,8.09761,8,1
iris,omp,32,0,1.0,1.15885,0.065509,16,1
iris,ff,32,0,1.0,1.39295,7.45634,16,1
iris,seq,64,0,1.0,8.37998,0.216991,1,1
iris,omp,64,0,0.991667,4.41732,0.149522,2,1
iris,ff,64,0,1.0,4.88268,0.562053,2,1
iris,omp,64,0,1.0,2.56194,0.111903,4,1
iris,ff,64,0,1.0,2.75586,0.663392,4,1
iris,omp,64,0,1.0,1.63214,0.100232,8,1
iris,ff,64,0,1.0,1.79327,1.14767,8,1
iris,omp,64,0,1.0,1.51632,0.081894,16,1
iris,ff,64,0,1.0,3.26224,2.419,16,1
iris,seq,128,0,1.0,18.3461,0.433053,1,1
iris,omp,128,0,1.0,9.95874,0.317517,2,1
iris,ff,128,0,1.0,9.53224,0.76375,2,1
iris,omp,128,0,1.0,5.09643,0.18673,4,1
iris,ff,128,0,1.0,5.04511,0.760156,4,1
iris,omp,128,0,1.0,3.426,0.147206,8,1
iris,ff,128,0,1.0,3.29371,1.24718,8,1
iris,omp,128,0,1.0,2.09901,0.110405,16,1
iris,ff,128,0,1.0,2.56929,2.12045,16,1
iris,seq,256,0,1.0,35.5172,0.759636,1,1
iris,omp,256,0,1.0,18.3123,0.51609,2,1
iris,ff,256,0,1.0,19.0584,1.23816,2,1
iris,omp,256,0,1.0,9.07308,0.286391,4,1
iris,ff,256,0,1.0,9.99071,1.01907,4,1
iris,omp,256,0,1.0,4.955,0.213508,8,1
iris,ff,256,0,1.0,7.74296,1.51016,8,1
iris,omp,256,0,1.0,3.10132,0.18273,16,1
iris,ff,256,0,1.0,4.2927,2.59912,16,1
