estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
64,0,omp,2,1,magic,0.999803,0.999784,0.878812,0.862078,12688.7,59.1373,14.9967
64,0,omp,2,1,magic,0.999803,0.999784,0.878812,0.862078,12645.4,59.489,15.3033
64,0,omp,2,1,magic,0.999803,0.999784,0.878812,0.862078,12601.1,58.8153,15.5017
64,0,omp,4,1,magic,0.999803,0.999784,0.878812,0.862078,6518.16,34.1955,8.71996
64,0,omp,4,1,magic,0.999803,0.999784,0.878812,0.862078,6527.32,34.1225,8.56403
64,0,omp,4,1,magic,0.999803,0.999784,0.878812,0.862078,6464.75,34.2775,8.75208
64,0,omp,4,1,magic,0.999803,0.999784,0.878812,0.862078,6428.08,34.2502,8.61448
64,0,omp,4,1,magic,0.999803,0.999784,0.878812,0.862078,6502.69,34.2637,8.51991
64,0,omp,8,1,magic,0.999803,0.999784,0.878812,0.862078,3344.17,20.4995,5.18471
64,0,omp,8,1,magic,0.999803,0.999784,0.878812,0.862078,3339.06,20.0035,5.20231
64,0,omp,8,1,magic,0.999803,0.999784,0.878812,0.862078,3373.52,20.3357,5.32343
64,0,omp,8,1,magic,0.999803,0.999784,0.878812,0.862078,3377.87,20.4356,5.16166
64,0,omp,8,1,magic,0.999803,0.999784,0.878812,0.862078,3338.94,20.3203,5.16481
64,0,omp,16,1,magic,0.999803,0.999784,0.878812,0.862078,1690.84,11.9126,3.2626
64,0,omp,16,1,magic,0.999803,0.999784,0.878812,0.862078,1715.03,12.4771,3.24396
64,0,omp,16,1,magic,0.999803,0.999784,0.878812,0.862078,1687.93,12.1121,3.20736
64,0,omp,16,1,magic,0.999803,0.999784,0.878812,0.862078,1716.61,11.8323,3.13056
64,0,omp,16,1,magic,0.999803,0.999784,0.878812,0.862078,1715.74,12.02,3.24693
64,0,omp,32,1,magic,0.999803,0.999784,0.878812,0.862078,1290.34,11.7801,3.06823
64,0,omp,32,1,magic,0.999803,0.999784,0.878812,0.862078,1281.48,11.5059,3.05307
64,0,omp,32,1,magic,0.999803,0.999784,0.878812,0.862078,1293.87,11.9035,3.12059
64,0,omp,32,1,magic,0.999803,0.999784,0.878812,0.862078,1282.87,11.6386,3.17414
64,0,omp,32,1,magic,0.999803,0.999784,0.878812,0.862078,1298.36,11.6478,3.14106
128,0,omp,1,1,magic,1.0,1.0,0.87408,0.856753,48642.0,215.153,56.4772
128,0,omp,1,1,magic,1.0,1.0,0.87408,0.856753,48802.7,214.846,55.9553
128,0,omp,1,1,magic,1.0,1.0,0.87408,0.856753,48510.4,214.997,56.0719
128,0,omp,1,1,magic,1.0,1.0,0.87408,0.856753,48628.9,214.746,56.2995
128,0,omp,1,1,magic,1.0,1.0,0.87408,0.856753,48640.4,215.508,56.1101
128,0,omp,2,1,magic,1.0,1.0,0.87408,0.856753,25631.3,115.982,30.2235
128,0,omp,2,1,magic,1.0,1.0,0.87408,0.856753,25405.2,114.456,29.7509
128,0,omp,2,1,magic,1.0,1.0,0.87408,0.856753,25845.6,114.593,29.938
128,0,omp,2,1,magic,1.0,1.0,0.87408,0.856753,25423.0,114.932,30.1987
128,0,omp,2,1,magic,1.0,1.0,0.87408,0.856753,25759.5,114.136,29.895
128,0,omp,4,1,magic,1.0,1.0,0.87408,0.856753,13189.3,62.083,16.1215
128,0,omp,4,1,magic,1.0,1.0,0.87408,0.856753,12973.3,59.4199,15.8643
128,0,omp,4,1,magic,1.0,1.0,0.87408,0.856753,13181.9,62.8159,16.1424
128,0,omp,4,1,magic,1.0,1.0,0.87408,0.856753,12861.7,62.2446,16.1526
128,0,omp,4,1,magic,1.0,1.0,0.87408,0.856753,13116.4,62.6901,16.386
128,0,omp,8,1,magic,1.0,1.0,0.87408,0.856753,6680.59,34.9864,9.15985
128,0,omp,8,1,magic,1.0,1.0,0.87408,0.856753,6662.67,35.0982,9.25619
128,0,omp,8,1,magic,1.0,1.0,0.87408,0.856753,6764.37,32.6857,8.88371
128,0,omp,8,1,magic,1.0,1.0,0.87408,0.856753,6678.72,35.3423,9.271
128,0,omp,8,1,magic,1.0,1.0,0.87408,0.856753,6643.1,32.1337,8.94335
128,0,omp,16,1,magic,1.0,1.0,0.87408,0.856753,3357.72,19.9723,5.32718
128,0,omp,16,1,magic,1.0,1.0,0.87408,0.856753,3346.4,18.9654,5.43125
128,0,omp,16,1,magic,1.0,1.0,0.87408,0.856753,3354.59,20.0676,5.58235
128,0,omp,16,1,magic,1.0,1.0,0.87408,0.856753,3356.63,20.1555,5.39017
128,0,omp,16,1,magic,1.0,1.0,0.87408,0.856753,3395.15,20.0568,5.36341
128,0,omp,32,1,magic,1.0,1.0,0.87408,0.856753,2582.8,17.8063,4.79843
128,0,omp,32,1,magic,1.0,1.0,0.87408,0.856753,2567.03,17.7008,4.67825
128,0,omp,32,1,magic,1.0,1.0,0.87408,0.856753,2579.19,17.8627,4.81776
128,0,omp,32,1,magic,1.0,1.0,0.87408,0.856753,2569.75,17.9461,4.76732
128,0,omp,32,1,magic,1.0,1.0,0.87408,0.856753,2566.72,17.6478,4.79661
256,0,omp,1,1,magic,1.0,1.0,0.878286,0.861595,96714.4,432.492,112.71
256,0,omp,1,1,magic,1.0,1.0,0.878286,0.861595,98215.9,432.352,113.37
256,0,omp,1,1,magic,1.0,1.0,0.878286,0.861595,96959.4,433.025,113.18
256,0,omp,1,1,magic,1.0,1.0,0.878286,0.861595,98364.9,432.474,112.756
256,0,omp,1,1,magic,1.0,1.0,0.878286,0.861595,96844.9,432.684,112.833
256,0,omp,2,1,magic,1.0,1.0,0.878286,0.861595,50701.8,229.13,60.1657
256,0,omp,2,1,magic,1.0,1.0,0.878286,0.861595,52102.7,229.534,60.3572
256,0,omp,2,1,magic,1.0,1.0,0.878286,0.861595,50828.4,228.947,59.95
