dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
iris,omp,512,0,1.0,0.0429488,0.00125658,2,1
iris,seq,128,0,1.0,0.0394042,0.000424979,1,1
iris,seq,64,0,1.0,0.0216356,0.000363858,1,1
iris,omp,64,0,1.0,0.003782,0.000620127,16,1
iris,omp,128,0,1.0,0.00460685,0.000671222,16,1
iris,ff,128,0,1.0,0.00694358,0.00248545,16,1
iris,seq,256,0,1.0,0.0582895,0.000798945,1,1
iris,omp,128,0,1.0,0.012404,0.000515249,4,1
iris,ff,64,0,1.0,0.00826147,0.0030463,16,1
iris,omp,512,0,1.0,0.035834,0.00135584,4,1
iris,omp,512,0,1.0,0.0237242,0.00134262,8,1
iris,ff,128,0,1.0,0.020645,0.0025637,2,1
iris,ff,128,0,1.0,0.0151002,0.00289399,4,1
iris,seq,512,0,1.0,0.0879119,0.00115382,1,1
iris,ff,128,0,1.0,0.0101052,0.0027304,8,1
iris,omp,256,0,1.0,0.00886229,0.00114251,16,1
iris,ff,512,0,1.0,0.0511944,0.00306018,2,1
iris,omp,64,0,1.0,0.00450512,0.000562483,8,1
iris,omp,64,0,1.0,0.0121366,0.000411773,2,1
iris,ff,512,0,1.0,0.0310545,0.00257806,4,1
iris,omp,512,0,1.0,0.0150156,0.000872961,16,1
iris,omp,128,0,1.0,0.0162557,0.000843781,2,1
iris,ff,256,0,1.0,0.0167332,0.00263423,8,1
iris,ff,256,0,1.0,0.0238827,0.00249468,4,1
iris,ff,64,0,1.0,0.0133611,0.00354857,2,1
iris,omp,128,0,1.0,0.00662322,0.00042698,8,1
iris,ff,64,0,0.993333,0.00808117,0.00324071,4,1
iris,omp,256,0,1.0,0.0286899,0.00087768,2,1
iris,ff,256,0,1.0,0.0140265,0.00245542,16,1
iris,omp,64,0,1.0,0.00755469,0.000647801,4,1
iris,omp,256,0,1.0,0.0217065,0.00131042,4,1
iris,ff,512,0,1.0,0.0178188,0.00226718,16,1
iris,ff,64,0,1.0,0.00635056,0.00386976,8,1
iris,ff,512,0,1.0,0.0283041,0.0028084,8,1
iris,omp,256,0,1.0,0.0115393,0.000784175,8,1
iris,ff,256,0,1.0,0.0299516,0.00281507,2,1
