dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
iris,seq,32,0,0.991667,5.24088,0.137646,1,1
iris,omp,32,0,1.0,3.28805,0.1077,2,1
iris,ff,32,0,1.0,4.40808,0.69345,2,1
iris,omp,32,0,0.991667,1.83421,0.0892,4,1
iris,ff,32,0,1.0,2.71539,1.08336,4,1
iris,omp,32,0,1.0,1.55247,0.082028,8,1
iris,ff,32,0,1.0,2.48291,2.00285,8,1
iris,omp,32,0,1.0,2.37406,0.077638,16,1
iris,ff,32,0,1.0,3.53616,5.30331,16,1
iris,omp,32,0,0.991667,3.14977,0.105669,32,1
iris,ff,32,0,1.0,6.18077,10.2457,32,1
iris,seq,64,0,1.0,12.1774,0.348883,1,1
iris,omp,64,0,1.0,6.09115,0.200037,2,1
iris,ff,64,0,1.0,6.7733,0.799134,2,1
iris,omp,64,0,1.0,3.18034,0.138545,4,1
iris,ff,64,0,1.0,4.07234,1.07321,4,1
iris,omp,64,0,0.991667,2.73809,0.115146,8,1
iris,ff,64,0,1.0,3.15995,2.08102,8,1
iris,omp,64,0,1.0,2.21809,0.104082,16,1
iris,ff,64,0,1.0,4.26489,5.46,16,1
iris,omp,64,0,1.0,3.96738,0.140495,32,1
iris,ff,64,0,1.0,5.12686,8.66595,32,1
iris,seq,128,0,1.0,19.8654,0.459909,1,1
iris,omp,128,0,1.0,11.0569,0.32536,2,1
iris,ff,128,0,1.0,13.4259,1.16862,2,1
iris,omp,128,0,1.0,6.62732,0.21948,4,1
iris,ff,128,0,1.0,6.69472,1.13768,4,1
iris,omp,128,0,1.0,3.84784,0.168947,8,1
iris,ff,128,0,1.0,4.52534,1.99815,8,1
iris,omp,128,0,1.0,2.95681,0.134733,16,1
iris,ff,128,0,1.0,4.47324,4.46354,16,1
iris,omp,128,0,1.0,3.88358,0.163918,32,1
iris,ff,128,0,1.0,5.84208,12.2012,32,1
iris,seq,256,0,1.0,40.186,0.923724,1,1
iris,omp,256,0,1.0,23.8652,0.637575,2,1
iris,ff,256,0,1.0,23.1233,1.55837,2,1
iris,omp,256,0,1.0,12.4377,0.435764,4,1
iris,ff,256,0,1.0,12.008,1.54731,4,1
iris,omp,256,0,1.0,6.14333,0.281922,8,1
iris,ff,256,0,1.0,7.41397,2.11072,8,1
iris,omp,256,0,1.0,4.33845,0.218496,16,1
iris,ff,256,0,1.0,6.05374,4.90507,16,1
iris,omp,256,0,1.0,4.92955,0.231038,32,1
iris,ff,256,0,1.0,7.38497,10.6188,32,1
