dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
magic,seq,64,0,0.999842,28.1964,0.126082,1,1
magic,omp,64,0,0.999737,14.1586,0.0678922,2,1
magic,ff,64,0,0.999895,14.0804,0.0217867,2,1
magic,omp,64,0,0.999947,7.1315,0.037664,4,1
magic,ff,64,0,0.999842,7.05688,0.0219103,4,1
magic,omp,64,0,0.99979,3.62197,0.0216937,8,1
magic,ff,64,0,0.999842,3.55795,0.01792,8,1
magic,omp,64,0,0.999737,1.8281,0.0148361,16,1
magic,ff,64,0,0.999895,1.82169,0.0189017,16,1
magic,seq,128,0,1.0,56.3873,0.25439,1,1
magic,omp,128,0,1.0,28.2719,0.13269,2,1
magic,ff,128,0,1.0,28.3987,0.024936,2,1
magic,omp,128,0,1.0,14.1466,0.0701699,4,1
magic,ff,128,0,1.0,14.801,0.0247953,4,1
magic,omp,128,0,1.0,7.12725,0.0421441,8,1
magic,ff,128,0,0.999895,7.18112,0.0260113,8,1
magic,omp,128,0,1.0,3.61955,0.0219138,16,1
magic,ff,128,0,1.0,3.5833,0.0250359,16,1
magic,seq,256,0,1.0,112.389,0.524815,1,1
magic,omp,256,0,1.0,56.601,0.261763,2,1
magic,ff,256,0,1.0,56.6092,0.0412355,2,1
magic,omp,256,0,1.0,28.4885,0.136072,4,1
magic,ff,256,0,1.0,28.4647,0.0360944,4,1
magic,omp,256,0,1.0,14.2226,0.0718542,8,1
magic,ff,256,0,1.0,14.2516,0.0527479,8,1
magic,omp,256,0,1.0,7.18473,0.0401079,16,1
magic,ff,256,0,1.0,7.19265,0.0396538,16,1
magic,seq,512,0,1.0,223.633,1.16139,1,1
magic,omp,512,0,1.0,113.413,0.521122,2,1
magic,ff,512,0,1.0,115.499,0.0840436,2,1
magic,omp,512,0,1.0,56.4462,0.267432,4,1
magic,ff,512,0,1.0,56.5867,0.0736607,4,1
magic,omp,512,0,1.0,28.4579,0.138327,8,1
magic,ff,512,0,1.0,28.4324,0.0566944,8,1
magic,omp,512,0,1.0,14.2755,0.0803728,16,1
magic,ff,512,0,1.0,14.4124,0.0829347,16,1
