dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
iris,seq,64,0,1.0,0.0138469,0.000262292,1,1
iris,omp,64,0,0.993333,0.00744754,0.000195718,2,1
iris,ff,64,0,1.0,0.00783611,0.00366018,2,1
iris,omp,64,0,1.0,0.00413154,0.00018205,4,1
iris,ff,64,0,1.0,0.00561809,0.00373575,4,1
iris,omp,64,0,1.0,0.00263501,0.000123556,8,1
iris,ff,64,0,1.0,0.00343481,0.00348759,8,1
iris,omp,64,0,1.0,0.00226859,0.000120003,16,1
iris,ff,64,0,1.0,0.00401668,0.00349209,16,1
iris,omp,64,0,1.0,0.00381554,0.000133338,32,1
iris,ff,64,0,1.0,0.00571489,0.0236831,32,1
iris,seq,128,0,0.993333,0.0273697,0.000504835,1,1
iris,omp,128,0,1.0,0.0145305,0.000346283,2,1
iris,ff,128,0,0.993333,0.0151643,0.00385292,2,1
iris,omp,128,0,1.0,0.0076418,0.00023301,4,1
iris,ff,128,0,1.0,0.00840782,0.00298529,4,1
iris,omp,128,0,1.0,0.00440839,0.000195595,8,1
iris,ff,128,0,1.0,0.00519842,0.00362204,8,1
iris,omp,128,0,1.0,0.00338923,0.000190562,16,1
iris,ff,128,0,1.0,0.00484622,0.00411023,16,1
iris,omp,128,0,1.0,0.0045017,0.000176092,32,1
iris,ff,128,0,1.0,0.00603247,0.00617476,32,1
iris,seq,256,0,1.0,0.0534569,0.000910273,1,1
iris,omp,256,0,1.0,0.0287003,0.000693372,2,1
iris,ff,256,0,1.0,0.0288877,0.00327674,2,1
iris,omp,256,0,1.0,0.0152957,0.000495035,4,1
iris,ff,256,0,1.0,0.0158017,0.00352691,4,1
iris,omp,256,0,1.0,0.00798345,0.000316272,8,1
iris,ff,256,0,1.0,0.00912343,0.00333958,8,1
iris,omp,256,0,1.0,0.00520218,0.000260961,16,1
iris,ff,256,0,1.0,0.00665577,0.00384022,16,1
iris,omp,256,0,1.0,0.00608192,0.00027612,32,1
iris,ff,256,0,1.0,0.007116,0.00271027,32,1
iris,seq,512,0,1.0,0.105071,0.00177093,1,1
iris,omp,512,0,1.0,0.0559989,0.00127706,2,1
iris,ff,512,0,1.0,0.0568543,0.00446339,2,1
iris,omp,512,0,1.0,0.0294018,0.000823063,4,1
iris,ff,512,0,1.0,0.0302192,0.00303379,4,1
iris,omp,512,0,1.0,0.0150362,0.000572995,8,1
iris,ff,512,0,1.0,0.0157951,0.0040318,8,1
iris,omp,512,0,1.0,0.00853898,0.0004382,16,1
iris,ff,512,0,1.0,0.0107629,0.00474445,16,1
iris,omp,512,0,1.0,0.00810345,0.000446599,32,1
iris,ff,512,0,1.0,0.0103238,0.00338386,32,1
