estimators,max_depth,backend,threads,nodes,dataset,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,220.389,0.578999,0.160776
32,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,219.568,0.584285,0.160891
32,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,220.433,0.582649,0.15486
32,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,219.106,0.586195,0.155303
32,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,221.017,0.571407,0.152922
64,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,425.705,1.05706,0.267834
64,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,423.182,1.06145,0.26802
64,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,426.147,1.05206,0.272736
64,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,423.859,1.05429,0.268346
64,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,428.339,1.064,0.268921
128,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,872.634,2.03226,0.519637
128,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,887.565,2.06285,0.556078
128,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,871.896,2.02013,0.512683
128,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,877.185,2.05903,0.517852
128,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,876.982,2.03109,0.513568
256,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,1776.86,4.0248,1.03926
256,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,1773.74,3.99498,1.00432
256,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,1770.95,4.00616,1.00598
256,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,1787.04,3.98961,1.00669
256,0,seq,1,1,breast_cancer,1,1,0.964602,0.958608,1774.97,4.02591,1.00868
32,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,221.579,0.61889,0.163098
32,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,220.523,0.618091,0.16307
32,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,221.355,0.612568,0.16268
32,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,223.587,0.616721,0.162738
32,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,222.374,0.613776,0.163258
32,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,116.466,0.424829,0.102316
32,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,117.695,0.433929,0.100267
32,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,118.345,0.414606,0.109182
32,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,117.913,0.376199,0.101399
32,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,116.711,0.370655,0.100665
32,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,64.1318,0.291237,0.086842
32,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,63.8851,0.271323,0.089711
32,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,63.1615,0.257829,0.094269
32,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,63.5984,0.282798,0.089945
32,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,63.6735,0.265816,0.085954
32,0,omp,8,1,breast_cancer,1,1,0.964602,0.958608,33.3633,0.199249,0.07625
32,0,omp,8,1,breast_cancer,1,1,0.964602,0.958608,33.281,0.20171,0.076839
32,0,omp,8,1,breast_cancer,1,1,0.964602,0.958608,33.7672,0.200702,0.074885
32,0,omp,8,1,breast_cancer,1,1,0.964602,0.958608,33.5768,0.229311,0.078185
32,0,omp,8,1,breast_cancer,1,1,0.964602,0.958608,33.8519,0.200962,0.073412
32,0,omp,16,1,breast_cancer,1,1,0.964602,0.958608,19.1956,0.195519,0.075792
32,0,omp,16,1,breast_cancer,1,1,0.964602,0.958608,18.9388,0.200052,0.078068
32,0,omp,16,1,breast_cancer,1,1,0.964602,0.958608,18.7271,0.221363,0.071335
32,0,omp,16,1,breast_cancer,1,1,0.964602,0.958608,24.0612,0.187989,0.078257
32,0,omp,16,1,breast_cancer,1,1,0.964602,0.958608,18.6929,0.201955,0.071945
32,0,omp,32,1,breast_cancer,1,1,0.964602,0.958608,23.8974,0.212643,0.086138
32,0,omp,32,1,breast_cancer,1,1,0.964602,0.958608,16.095,0.21241,0.094561
32,0,omp,32,1,breast_cancer,1,1,0.964602,0.958608,16.1402,0.210347,0.085465
32,0,omp,32,1,breast_cancer,1,1,0.964602,0.958608,15.7797,0.231872,0.084023
32,0,omp,32,1,breast_cancer,1,1,0.964602,0.958608,15.9729,0.214208,0.088889
64,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,425.184,1.12216,0.269935
64,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,430.069,1.12198,0.26975
64,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,426.642,1.13206,0.26977
64,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,426.259,1.10998,0.269875
64,0,omp,1,1,breast_cancer,1,1,0.964602,0.958608,426.171,1.12155,0.269043
64,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,226.323,0.710232,0.165357
64,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,226.221,0.67426,0.182031
64,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,227.886,0.740868,0.169539
64,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,227.273,0.706681,0.172226
64,0,omp,2,1,breast_cancer,1,1,0.964602,0.958608,227.155,0.700752,0.168155
64,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,119.848,0.41138,0.130979
64,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,117.846,0.484465,0.124636
64,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,117.806,0.46784,0.128483
64,0,omp,4,1,breast_cancer,1,1,0.964602,0.958608,118.252,0.469489,0.124624
