estimators,max_depth,backend,threads,nodes,train_accuracy,train_f1,test_accuracy,test_f1,train_time,train_predict_time,test_predict_time
32,0,ff,1,1,1.0,1.0,0.964602,0.9586080000000001,152.64069999999998,1.0000578,0.5511022000000001
32,0,ff,2,1,1.0,1.0,0.964602,0.9586080000000001,83.29171,0.8713468000000001,0.628523
32,0,ff,4,1,1.0,1.0,0.964602,0.9586080000000001,44.5657,1.08455,0.9035582
32,0,ff,8,1,1.0,1.0,0.964602,0.9586080000000001,28.07265,2.116886,2.249374
32,0,ff,16,1,1.0,1.0,0.964602,0.9586080000000001,16.06109,4.76193,4.413142
32,0,ff,32,1,1.0,1.0,0.964602,0.9586080000000001,13.378379999999998,10.689544,9.288853
32,0,mpi,16,1,1.0,1.0,0.964602,0.9586080000000001,13.76558,0.1435366,0.0596866
32,0,mpi,16,2,1.0,1.0,0.955752,0.94866,8.277663,10.579677,0.0588986
32,0,mpi,16,4,0.993421,0.993082,0.955752,0.947845,7.294807142857143,12.39867142857143,0.051171857142857144
32,0,mpi,16,6,0.995614,0.995402,0.955752,0.94866,6.85375125,15.409575,0.458805375
32,0,mpi,16,8,0.9912279999999999,0.990747,0.938053,0.9281240000000001,7.0466880000000005,12.42658,0.048999799999999996
32,0,mpi,32,2,1.0,1.0,0.955752,0.94866,10.583720000000001,12.05602,0.1026714
32,0,mpi,32,4,0.993421,0.993082,0.955752,0.947845,10.041122,14.17862,0.0704714
32,0,mpi,32,6,0.995614,0.995402,0.955752,0.94866,9.740474,23.47246,4.997656999999999
32,0,mpi,32,8,0.9912279999999999,0.990747,0.938053,0.9281240000000001,9.247118,15.33102,2.201677
32,0,omp,1,1,1.0,1.0,0.964602,0.9586080000000001,151.9791,0.3971069,0.099379
32,0,omp,2,1,1.0,1.0,0.964602,0.9586080000000001,80.38476,0.24992019999999998,0.06921669999999999
32,0,omp,4,1,1.0,1.0,0.964602,0.9586080000000001,43.710210000000004,0.1833971,0.061554399999999995
32,0,omp,8,1,1.0,1.0,0.964602,0.9586080000000001,23.08106,0.1403128,0.055518899999999996
32,0,omp,16,1,1.0,1.0,0.964602,0.9586080000000001,13.5168,0.10846340000000002,0.057001100000000006
32,0,omp,32,1,1.0,1.0,0.964602,0.9586080000000001,11.40837,0.1421557,0.06497119999999999
32,0,seq,1,1,1.0,1.0,0.964602,0.9586080000000001,151.3159,0.3917471,0.095336
