dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
magic,seq,32,0,0.998883,12321.9,53.9173,1,1
magic,omp,32,0,0.99908,6373.1,30.2864,2,1
magic,ff,32,0,0.999146,6560.44,37.6906,2,1
magic,omp,32,0,0.99862,3275.71,19.5188,4,1
magic,ff,32,0,0.998751,3371.15,23.7906,4,1
magic,omp,32,0,0.998948,1680.04,10.4069,8,1
magic,ff,32,0,0.99908,1655.67,14.7296,8,1
magic,omp,32,0,0.999146,881.492,6.10195,16,1
magic,ff,32,0,0.999146,838.353,12.1496,16,1
magic,omp,32,0,0.998751,642.148,5.80243,32,1
magic,ff,32,0,0.998686,643.525,15.6533,32,1
magic,seq,64,0,0.999934,24670.0,105.105,1,1
magic,omp,64,0,0.999934,13101.4,56.7878,2,1
magic,ff,64,0,0.999869,12886.9,69.9279,2,1
magic,omp,64,0,0.999803,6595.0,32.2308,4,1
magic,ff,64,0,1.0,6645.17,38.2518,4,1
magic,omp,64,0,0.999934,3340.26,20.1438,8,1
magic,ff,64,0,1.0,3297.85,26.4887,8,1
magic,omp,64,0,0.999803,1700.83,11.6515,16,1
magic,ff,64,0,0.999737,1709.15,18.3138,16,1
magic,omp,64,0,0.999934,1280.17,11.881,32,1
magic,ff,64,0,0.999869,1265.45,20.5427,32,1
magic,seq,128,0,1.0,48969.3,203.584,1,1
magic,omp,128,0,1.0,26483.3,112.466,2,1
magic,ff,128,0,1.0,25832.1,127.035,2,1
magic,omp,128,0,1.0,12953.5,58.4078,4,1
magic,ff,128,0,1.0,13439.0,74.7992,4,1
magic,omp,128,0,1.0,6611.87,33.9228,8,1
magic,ff,128,0,1.0,6576.44,44.1018,8,1
magic,omp,128,0,1.0,3306.25,19.9526,16,1
magic,ff,128,0,1.0,3376.23,30.1415,16,1
magic,omp,128,0,1.0,2529.26,31.0509,32,1
magic,ff,128,0,1.0,2518.64,28.5898,32,1
magic,seq,256,0,1.0,97098.5,415.726,1,1
magic,omp,256,0,1.0,51304.2,224.883,2,1
magic,ff,256,0,1.0,52559.5,253.581,2,1
magic,omp,256,0,1.0,26579.4,115.744,4,1
magic,ff,256,0,1.0,26731.1,144.963,4,1
magic,omp,256,0,1.0,13332.3,63.6557,8,1
magic,ff,256,0,1.0,13613.7,83.8306,8,1
magic,omp,256,0,1.0,6695.31,35.3874,16,1
magic,ff,256,0,1.0,6657.88,51.8919,16,1
magic,omp,256,0,1.0,5091.81,26.8136,32,1
magic,ff,256,0,1.0,5010.96,47.4973,32,1
