dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
magic,seq,64,0,0.999947,31.5924,0.12789,1,1
magic,omp,64,0,0.999842,16.8459,0.0702527,2,1
magic,ff,64,0,0.999895,17.1383,0.0147335,2,1
magic,omp,64,0,0.999895,8.32864,0.040466,4,1
magic,ff,64,0,0.999947,8.65146,0.0203568,4,1
magic,omp,64,0,0.99979,4.43482,0.0212786,8,1
magic,ff,64,0,0.999842,4.34412,0.0211796,8,1
magic,omp,64,0,1.0,2.2476,0.0150735,16,1
magic,ff,64,0,0.999842,2.19799,0.0185706,16,1
magic,omp,64,0,0.999685,1.65721,0.015169,32,1
magic,ff,64,0,0.99979,1.70564,0.0175269,32,1
magic,seq,128,0,1.0,63.2159,0.252977,1,1
magic,omp,128,0,1.0,33.5164,0.137085,2,1
magic,ff,128,0,1.0,34.6033,0.0218459,2,1
magic,omp,128,0,1.0,17.1715,0.075519,4,1
magic,ff,128,0,1.0,17.3293,0.03118,4,1
magic,omp,128,0,1.0,8.68896,0.0423881,8,1
magic,ff,128,0,1.0,8.7596,0.0265145,8,1
magic,omp,128,0,1.0,4.39561,0.0247575,16,1
magic,ff,128,0,0.999947,4.35316,0.0445658,16,1
magic,omp,128,0,1.0,3.31394,0.021108,32,1
magic,ff,128,0,1.0,3.3543,0.0296981,32,1
magic,seq,256,0,1.0,127.783,0.505199,1,1
magic,omp,256,0,1.0,65.8149,0.272924,2,1
magic,ff,256,0,1.0,68.4657,0.0361118,2,1
magic,omp,256,0,1.0,33.6135,0.144889,4,1
magic,ff,256,0,1.0,34.3035,0.0398436,4,1
magic,omp,256,0,1.0,17.3602,0.0770417,8,1
magic,ff,256,0,1.0,17.5243,0.0373708,8,1
magic,omp,256,0,1.0,8.75712,0.0434048,16,1
magic,ff,256,0,1.0,8.68399,0.0444171,16,1
magic,omp,256,0,1.0,6.64621,0.036568,32,1
magic,ff,256,0,1.0,6.62761,0.0546287,32,1
magic,seq,512,0,1.0,252.378,1.039,1,1
magic,omp,512,0,1.0,132.102,0.564781,2,1
magic,ff,512,0,1.0,137.545,0.0676029,2,1
magic,omp,512,0,1.0,68.535,0.315069,4,1
magic,ff,512,0,1.0,69.1642,0.0663485,4,1
magic,omp,512,0,1.0,35.3095,0.163254,8,1
magic,ff,512,0,1.0,34.5952,0.0714178,8,1
magic,omp,512,0,1.0,17.4922,0.0854281,16,1
magic,ff,512,0,1.0,17.4156,0.0729022,16,1
magic,omp,512,0,1.0,13.1683,0.0688586,32,1
magic,ff,512,0,1.0,13.1521,0.071271,32,1
